"ECO01ASI01ORG. How Eco-friendly do you perceive that product to be?0 = Not eco-friendly at all, 5 = Extremely eco-friendly  ","ECO01ASI02ORG. How Eco-friendly do you perceive that product to be?0 = Not eco-friendly at all, 5 = Extremely eco-friendly  ","ECO01ASI03ORG. How Eco-friendly do you perceive that product to be?0 = Not eco-friendly at all, 5 = Extremely eco-friendly  ","ECO01ASI04ORG. How Eco-friendly do you perceive that product to be?0 = Not eco-friendly at all, 5 = Extremely eco-friendly  ","ECO01ASI05ORG. How Eco-friendly do you perceive that product to be?0 = Not eco-friendly at all, 5 = Extremely eco-friendly  "
"1","5","3","4","2"
"1","3","3","4","2"
"3","2","1","3","2"
"1","5","2","4","2"
"1","5","3","3","5"
